address,price,details,bedrooms,bathrooms,category,city
"643 Davos Rd, Vaughan, ON L4H 0Y3",1999900.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"1955 Highway 7 W, Vaughan, ON L4K 1V5",1499000.0,4 bds2 ba- House for sale,4.0,2.0,House,Vaughan
"1949 Highway 7 W, Vaughan, ON L4K 1V5",1699000.0,3 bds1 ba- House for sale,3.0,1.0,House,Vaughan
"100 Portage Pkwy #3603, Vaughan, ON L4K 3Y8",670000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"100 Portage Pkwy #1008, Vaughan, ON L4K 3Y8",545000.0,1 bd2 ba- Condo for sale,1.0,2.0,Condo,Vaughan
"81 Isaiah Dr S, Vaughan, ON L4H 0T4",1669000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"950 Portage Pkwy #201, Vaughan, ON L4K 3Y8",735000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"61 Cedarpoint Ct, Vaughan, ON L6A 4P7",3888000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"36 Sgotto Blvd, Vaughan, ON L4H 1X1",825000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"2504 Rutherford Rd #210, Vaughan, ON L4K 5N5",649900.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"166 Money Penny Pl #5, Vaughan, ON L4J 0K9",1248000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"42 Riverside Blvd, Vaughan, ON L4J 1H3",6795000.0,4 bds6 ba- House for sale,4.0,6.0,House,Vaughan
"100 Portage Pkwy #2911, Vaughan, ON L4K 3Y6",559900.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"100 Laurentian Blvd, Vaughan, ON L6A 2V8",2799000.0,7 bds5 ba- House for sale,7.0,5.0,House,Vaughan
"520 Steeles Ave W PENTHOUSE 12, Vaughan, ON L4J 0H2",568000.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"1 Tiburon Trl, Vaughan, ON L4H 3X5",3799900.0,4 bds7 ba- House for sale,4.0,7.0,House,Vaughan
"7300 Yonge St UNIT 1507, Vaughan, ON L4J 7Y5",988000.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"70 Flatbush Ave, Vaughan, ON L4L 8K2",3999888.0,5 bds9 ba- House for sale,5.0,9.0,House,Vaughan
